item_id,tier,input_type,task,source,latency_ms,n_corrections,n_expected,tp,fp,fn,string_match_rate,detected_input_type,expected_label,predicted_label,error_type,error,available
email_001,fast,email,span_correction,builtin,2.67,2,2,1,1,1,0.000,,,,,,True
email_001,better,email,span_correction,builtin,940.22,2,2,1,1,1,0.000,,,,,,True
email_001,smart,email,span_correction,builtin,0.00,0,2,0,0,2,0.000,,,,,tier_unavailable: smart,False
email_002,fast,email,span_correction,builtin,1.97,0,0,0,0,0,0.000,,,,,,True
email_002,better,email,span_correction,builtin,46.37,1,0,0,1,0,0.000,,,,,,True
email_002,smart,email,span_correction,builtin,0.00,0,0,0,0,0,0.000,,,,,tier_unavailable: smart,False
email_003,fast,email,span_correction,builtin,1.98,0,0,0,0,0,0.000,,,,,,True
email_003,better,email,span_correction,builtin,63.47,0,0,0,0,0,0.000,,,,,,True
email_003,smart,email,span_correction,builtin,0.00,0,0,0,0,0,0.000,,,,,tier_unavailable: smart,False
email_004,fast,email,span_correction,builtin,2.75,1,3,1,0,2,0.000,,,,,,True
email_004,better,email,span_correction,builtin,44.17,3,3,2,1,1,0.000,,,,,,True
email_004,smart,email,span_correction,builtin,0.00,0,3,0,0,3,0.000,,,,,tier_unavailable: smart,False
email_005,fast,email,span_correction,builtin,1.95,0,1,0,0,1,0.000,,,,,,True
email_005,better,email,span_correction,builtin,63.30,1,1,1,0,0,0.000,,,,,,True
email_005,smart,email,span_correction,builtin,0.00,0,1,0,0,1,0.000,,,,,tier_unavailable: smart,False
email_006,fast,email,span_correction,builtin,2.64,1,1,1,0,0,0.000,,,,,,True
email_006,better,email,span_correction,builtin,48.00,1,1,1,0,0,0.000,,,,,,True
email_006,smart,email,span_correction,builtin,0.00,0,1,0,0,1,0.000,,,,,tier_unavailable: smart,False
email_007,fast,email,span_correction,builtin,1.90,0,0,0,0,0,0.000,,,,,,True
email_007,better,email,span_correction,builtin,49.33,0,0,0,0,0,0.000,,,,,,True
email_007,smart,email,span_correction,builtin,0.00,0,0,0,0,0,0.000,,,,,tier_unavailable: smart,False
email_008,fast,email,span_correction,builtin,1.92,0,1,0,0,1,0.000,,,,,,True
email_008,better,email,span_correction,builtin,47.32,0,1,0,0,1,0.000,,,,,,True
email_008,smart,email,span_correction,builtin,0.00,0,1,0,0,1,0.000,,,,,tier_unavailable: smart,False
github_001,fast,github,span_correction,builtin,2.55,1,1,1,0,0,0.000,,,,,,True
github_001,better,github,span_correction,builtin,65.66,0,1,0,0,1,0.000,,,,,,True
github_001,smart,github,span_correction,builtin,0.00,0,1,0,0,1,0.000,,,,,tier_unavailable: smart,False
github_002,fast,github,span_correction,builtin,2.60,1,0,0,1,0,0.000,,,,,,True
github_002,better,github,span_correction,builtin,88.01,1,0,0,1,0,0.000,,,,,,True
github_002,smart,github,span_correction,builtin,0.00,0,0,0,0,0,0.000,,,,,tier_unavailable: smart,False
github_003,fast,github,span_correction,builtin,1.89,0,0,0,0,0,0.000,,,,,,True
github_003,better,github,span_correction,builtin,48.81,0,0,0,0,0,0.000,,,,,,True
github_003,smart,github,span_correction,builtin,0.00,0,0,0,0,0,0.000,,,,,tier_unavailable: smart,False
github_004,fast,github,span_correction,builtin,2.42,1,1,1,0,0,0.000,,,,,,True
github_004,better,github,span_correction,builtin,44.58,1,1,1,0,0,0.000,,,,,,True
github_004,smart,github,span_correction,builtin,0.00,0,1,0,0,1,0.000,,,,,tier_unavailable: smart,False
github_005,fast,github,span_correction,builtin,2.56,1,1,1,0,0,0.000,,,,,,True
github_005,better,github,span_correction,builtin,40.44,0,1,0,0,1,0.000,,,,,,True
github_005,smart,github,span_correction,builtin,0.00,0,1,0,0,1,0.000,,,,,tier_unavailable: smart,False
github_006,fast,github,span_correction,builtin,1.85,0,1,0,0,1,0.000,,,,,,True
github_006,better,github,span_correction,builtin,52.38,0,1,0,0,1,0.000,,,,,,True
github_006,smart,github,span_correction,builtin,0.00,0,1,0,0,1,0.000,,,,,tier_unavailable: smart,False
github_007,fast,github,span_correction,builtin,2.52,1,1,0,1,1,0.000,,,,,,True
github_007,better,github,span_correction,builtin,67.28,1,1,0,1,1,0.000,,,,,,True
github_007,smart,github,span_correction,builtin,0.00,0,1,0,0,1,0.000,,,,,tier_unavailable: smart,False
github_008,fast,github,span_correction,builtin,1.87,0,0,0,0,0,0.000,,,,,,True
github_008,better,github,span_correction,builtin,41.65,0,0,0,0,0,0.000,,,,,,True
github_008,smart,github,span_correction,builtin,0.00,0,0,0,0,0,0.000,,,,,tier_unavailable: smart,False
slack_001,fast,slack,span_correction,builtin,3.38,2,1,2,0,0,0.000,,,,,,True
slack_001,better,slack,span_correction,builtin,55.89,2,1,1,1,0,0.000,,,,,,True
slack_001,smart,slack,span_correction,builtin,0.00,0,1,0,0,1,0.000,,,,,tier_unavailable: smart,False
slack_002,fast,slack,span_correction,builtin,1.77,0,0,0,0,0,0.000,,,,,,True
slack_002,better,slack,span_correction,builtin,20.07,0,0,0,0,0,0.000,,,,,,True
slack_002,smart,slack,span_correction,builtin,0.00,0,0,0,0,0,0.000,,,,,tier_unavailable: smart,False
slack_003,fast,slack,span_correction,builtin,2.47,1,1,1,0,0,0.000,,,,,,True
slack_003,better,slack,span_correction,builtin,40.18,1,1,1,0,0,0.000,,,,,,True
slack_003,smart,slack,span_correction,builtin,0.00,0,1,0,0,1,0.000,,,,,tier_unavailable: smart,False
slack_004,fast,slack,span_correction,builtin,1.90,0,1,0,0,1,0.000,,,,,,True
slack_004,better,slack,span_correction,builtin,45.60,1,1,0,1,1,0.000,,,,,,True
slack_004,smart,slack,span_correction,builtin,0.00,0,1,0,0,1,0.000,,,,,tier_unavailable: smart,False
slack_005,fast,slack,span_correction,builtin,1.91,0,1,0,0,1,0.000,,,,,,True
slack_005,better,slack,span_correction,builtin,62.97,1,1,1,0,0,0.000,,,,,,True
slack_005,smart,slack,span_correction,builtin,0.00,0,1,0,0,1,0.000,,,,,tier_unavailable: smart,False
slack_006,fast,slack,span_correction,builtin,1.93,0,1,0,0,1,0.000,,,,,,True
slack_006,better,slack,span_correction,builtin,56.87,1,1,0,1,1,0.000,,,,,,True
slack_006,smart,slack,span_correction,builtin,0.00,0,1,0,0,1,0.000,,,,,tier_unavailable: smart,False
slack_007,fast,slack,span_correction,builtin,1.91,0,1,0,0,1,0.000,,,,,,True
slack_007,better,slack,span_correction,builtin,43.18,2,1,0,2,1,0.000,,,,,,True
slack_007,smart,slack,span_correction,builtin,0.00,0,1,0,0,1,0.000,,,,,tier_unavailable: smart,False
slack_008,fast,slack,span_correction,builtin,1.89,0,1,0,0,1,0.000,,,,,,True
slack_008,better,slack,span_correction,builtin,58.62,1,1,1,0,0,0.000,,,,,,True
slack_008,smart,slack,span_correction,builtin,0.00,0,1,0,0,1,0.000,,,,,tier_unavailable: smart,False
ai_chat_001,fast,ai_chat,span_correction,builtin,1.94,0,1,0,0,1,0.000,,,,,,True
ai_chat_001,better,ai_chat,span_correction,builtin,53.76,1,1,0,1,1,0.000,,,,,,True
ai_chat_001,smart,ai_chat,span_correction,builtin,0.00,0,1,0,0,1,0.000,,,,,tier_unavailable: smart,False
ai_chat_002,fast,ai_chat,span_correction,builtin,1.83,0,1,0,0,1,0.000,,,,,,True
ai_chat_002,better,ai_chat,span_correction,builtin,43.58,0,1,0,0,1,0.000,,,,,,True
ai_chat_002,smart,ai_chat,span_correction,builtin,0.00,0,1,0,0,1,0.000,,,,,tier_unavailable: smart,False
ai_chat_003,fast,ai_chat,span_correction,builtin,1.86,0,1,0,0,1,0.000,,,,,,True
ai_chat_003,better,ai_chat,span_correction,builtin,39.39,1,1,0,1,1,0.000,,,,,,True
ai_chat_003,smart,ai_chat,span_correction,builtin,0.00,0,1,0,0,1,0.000,,,,,tier_unavailable: smart,False
ai_chat_004,fast,ai_chat,span_correction,builtin,1.84,0,1,0,0,1,0.000,,,,,,True
ai_chat_004,better,ai_chat,span_correction,builtin,42.69,1,1,1,0,0,0.000,,,,,,True
ai_chat_004,smart,ai_chat,span_correction,builtin,0.00,0,1,0,0,1,0.000,,,,,tier_unavailable: smart,False
ai_chat_005,fast,ai_chat,span_correction,builtin,1.87,0,0,0,0,0,0.000,,,,,,True
ai_chat_005,better,ai_chat,span_correction,builtin,49.34,0,0,0,0,0,0.000,,,,,,True
ai_chat_005,smart,ai_chat,span_correction,builtin,0.00,0,0,0,0,0,0.000,,,,,tier_unavailable: smart,False
ai_chat_006,fast,ai_chat,span_correction,builtin,1.90,0,1,0,0,1,0.000,,,,,,True
ai_chat_006,better,ai_chat,span_correction,builtin,53.15,1,1,0,1,1,0.000,,,,,,True
ai_chat_006,smart,ai_chat,span_correction,builtin,0.00,0,1,0,0,1,0.000,,,,,tier_unavailable: smart,False
ai_chat_007,fast,ai_chat,span_correction,builtin,1.99,0,0,0,0,0,0.000,,,,,,True
ai_chat_007,better,ai_chat,span_correction,builtin,41.81,0,0,0,0,0,0.000,,,,,,True
